n,c,M_n_c,m_knee,parameter_path,P,matched_total_dimension,project_error,augmented_error,project_P_plus_1_error,Boulsane_error,causal_ratio_or_upper_bound,causal_ratio_is_floor_upper_bound,matched_ratio_or_upper_bound,matched_ratio_is_floor_upper_bound,reference_endpoint_absolute_value,augmented_endpoint_absolute_value,augmented_endpoint_absolute_error,project_Rayleigh_residual,augmented_Rayleigh_residual,Boulsane_Rayleigh_residual,augmented_matrix_audit_passed,Boulsane_matrix_audit_passed,case_boundary_explanation_supported
0,10,3,3,fixed continuous c,8,9,0.05679778159224258,2.5943398830274855e-05,0.05005318247799004,0.007395070076961746,0.0004567678191469752,False,0.0005183166693083498,False,2.9882531865477135,3.060611828852465,0.07235864230475153,0.10337410933106872,0.002506147314077249,0.3244995771776308,True,True,True
0,10,3,3,fixed continuous c,11,12,0.04053224651245341,5.073836000013543e-06,0.037034967862168394,0.004085123117732792,0.0001251802314597742,False,0.0001370012259466956,False,2.9882531865477135,3.025967958098096,0.0377147715503825,0.09097679130820238,0.0011083664521467358,0.2833036467864788,True,True,True
0,10,3,3,fixed continuous c,15,16,0.029453307163767567,1.0636218173154521e-06,0.02757850423112318,0.0022813466447163255,3.611213543529953e-05,False,3.856705963462379e-05,False,2.9882531865477135,3.0084579494273473,0.020204762879633797,0.07955688776918923,0.0005074730431258303,0.2811289277578632,True,True,True
0,10,3,3,fixed continuous c,23,24,0.019100846591047327,1.2562125448201122e-07,0.01829919907966024,0.001011818901532513,6.576737522246297e-06,False,6.864849873218803e-06,False,2.9882531865477135,2.9968563681608638,0.008603181613150213,0.0655091951786203,0.0001744021884769162,0.24317380674149097,True,True,True
0,10,3,3,fixed continuous c,35,36,0.012526012705047995,1.5500396771672698e-08,0.012177133237173815,0.0004503233873776602,1.2374565743036508e-06,False,1.2729101726795408e-06,False,2.9882531865477135,2.991979793993824,0.0037266074461106413,0.05376473369334524,6.126213596932109e-05,0.18505976105682248,True,True,True
0,10,3,3,fixed continuous c,51,52,0.00859052154605952,2.3748270294721152e-09,0.008425161125049235,0.00021625771365546553,2.764473631477533e-07,False,2.818731884440058e-07,False,2.9882531865477135,2.9900131051978995,0.0017599186501859876,0.04487114421272302,2.397939462338344e-05,0.13593285359464718,True,True,True
0,10,3,3,fixed continuous c,67,68,0.006537883705331066,6.093502646908888e-10,0.0064417029144485105,0.0001266359809728168,9.320298312954352e-08,False,9.459459288694265e-08,False,2.9882531865477135,2.989274630256066,0.001021443708352443,0.03930055647270849,1.2146751143906767e-05,0.10641492203194264,True,True,True
0,10,3,3,fixed continuous c,99,100,0.004424357224926734,8.69003480286068e-11,0.004380113887986342,5.865485709841134e-05,1.964134983021084e-08,False,1.9839746237410566e-08,False,2.9882531865477135,2.9887219221017784,0.00046873555406490297,0.03246054373164781,4.587526516682189e-06,0.07368688621418622,True,True,True
0,20,6,6,fixed continuous c,11,12,0.09749363433350311,0.0003036986916871709,0.08764672158860715,0.007318493739820686,0.0031150617551940684,False,0.0034650319622068727,False,3.4765240401731874,3.6937962061256426,0.21727216595245524,0.16923897476025399,0.010949052014992243,0.3856544815645638,True,True,True
0,20,6,6,fixed continuous c,14,15,0.07325133311304416,7.716222366549452e-05,0.06778735715068407,0.004413558278795859,0.0010533900256315463,False,0.001138298156306214,False,3.4765240401731874,3.602814897004925,0.12629085683173757,0.15318354343355373,0.005520644351448257,0.3566892879252842,True,True,True
0,20,6,6,fixed continuous c,18,19,0.05554615087497372,2.0051435429657705e-05,0.05242442011892706,0.0026556740949515434,0.00036098694713861557,False,0.00038248273198196865,False,3.4765240401731874,3.5504638993970468,0.07393985922385937,0.13729159907062818,0.002814447979232125,0.3004995965354655,True,True,True
0,20,6,6,fixed continuous c,26,27,0.03774800006922424,2.994708048986716e-06,0.03630700683198829,0.001281504723925797,7.93342175345678e-05,False,8.248292300284663e-05,False,3.4765240401731874,3.5111905748853016,0.03466653471211423,0.1162379808028649,0.0010876961058940348,0.27718005040146504,True,True,True
