n,c,P,parameter_path,category,available,m,explicit_tail_upper,hybrid_tail_upper,lambda_ref,u_ref,finite_lower,finite_upper,explicit_lower,explicit_upper,explicit_width,explicit_contains_reference,hybrid_lower,hybrid_upper,hybrid_width,hybrid_contains_reference,ordinary_observed_finite_Ritz_error
0,10,8,fixed continuous c,deep,False,,0.22453217382331075,0.5648213373238897,,,,,,,,,,,,,
0,10,8,fixed continuous c,edge,True,0,0.22453217382331075,0.5648213373238897,0.9999995234518001,1.0336176359260207e-12,0.8735408250181068,1.3050556874772599,0.8735408250181068,1.0,0.12645917498189316,True,0.8735408250181068,1.0,0.12645917498189316,True,0.0892987327958833
0,10,8,fixed continuous c,knee,True,3,0.22453217382331075,0.5648213373238897,0.24212572108447744,3.7414515929867775e-13,-0.030173821481632786,0.40134104097752016,0.0,0.6258732148008309,0.6258732148008309,True,0.0,0.9661623783014099,0.9661623783014099,True,0.05654211133653375
0,10,8,fixed continuous c,tail,True,5,0.22453217382331075,0.5648213373238897,2.0703531517668117e-05,1.1102230246251565e-13,-0.21570658726084357,0.21580827519830936,0.0,0.4403404490216201,0.4403404490216201,True,0.0,0.7806296125221992,0.7806296125221992,True,3.014043721523047e-05
0,10,11,fixed continuous c,deep,False,,0.14980971940308022,0.39494526408991454,,,,,,,,,,,,,
0,10,11,fixed continuous c,edge,True,0,0.14980971940308022,0.39494526408991454,0.9999995234518001,1.0336176359260207e-12,-13.110195635096185,29.32435590194071,0.0,1.0,1.0,True,0.0,1.0,1.0,True,7.107080609970463
0,10,11,fixed continuous c,knee,True,3,0.14980971940308022,0.39494526408991454,0.24212572108447744,3.7414515929867775e-13,-20.6874206014357,21.747130935601195,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.2877294459982715
0,10,11,fixed continuous c,tail,True,5,0.14980971940308022,0.39494526408991454,2.0703531517668117e-05,1.1102230246251565e-13,-21.116628020163564,21.317923516873332,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.1006270448233676
0,10,15,fixed continuous c,deep,False,,0.10501852079132017,0.27896185629288933,,,,,,,,,,,,,
0,10,15,fixed continuous c,edge,True,0,0.10501852079132017,0.27896185629288933,0.9999995234518001,1.0336176359260207e-12,-15.077867588210877,31.29211292583865,0.0,1.0,1.0,True,0.0,1.0,1.0,True,7.107123145362088
0,10,15,fixed continuous c,knee,True,3,0.10501852079132017,0.27896185629288933,0.24212572108447744,3.7414515929867775e-13,-22.650361833767317,23.719618680282213,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.29250270217296964
0,10,15,fixed continuous c,tail,True,5,0.10501852079132017,0.27896185629288933,2.0703531517668117e-05,1.1102230246251565e-13,-23.0827041887478,23.28727632530173,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.10226536474544662
0,10,23,fixed continuous c,deep,False,,0.0663646688961782,0.17021122461833155,,,,,,,,,,,,,
0,10,23,fixed continuous c,edge,True,0,0.0663646688961782,0.17021122461833155,0.9999995234518001,1.0336176359260207e-12,-17.7579566734508,33.972287843875556,0.0,1.0,1.0,True,0.0,1.0,1.0,True,7.1071660617605765
0,10,23,fixed continuous c,knee,True,3,0.0663646688961782,0.17021122461833155,0.24212572108447744,3.7414515929867775e-13,-25.32584411892207,26.404400398404285,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.29715241865662784
0,10,23,fixed continuous c,tail,True,5,0.0663646688961782,0.17021122461833155,2.0703531517668117e-05,1.1102230246251565e-13,-25.761268877550663,25.968975639775692,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.10383267758099787
0,10,35,fixed continuous c,deep,False,,0.04298305164125126,0.1008660852375672,,,,,,,,,,,,,
0,10,35,fixed continuous c,edge,True,0,0.04298305164125126,0.1008660852375672,0.9999995234518001,1.0336176359260207e-12,-20.377596351099417,36.59198453764875,0.0,1.0,1.0,True,0.0,1.0,1.0,True,7.107194569822868
0,10,35,fixed continuous c,knee,True,3,0.04298305164125126,0.1008660852375672,0.24212572108447744,3.7414515929867775e-13,-27.94245073277867,29.0271301559695,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.30021399051093806
0,10,35,fixed continuous c,tail,True,5,0.04298305164125126,0.1008660852375672,2.0703531517668117e-05,1.1102230246251565e-13,-28.379914707120165,28.589666181628004,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.10485503372240124
0,10,51,fixed continuous c,deep,False,,0.029304741231600134,0.05922558528651777,,,,,,,,,,,,,
0,10,51,fixed continuous c,edge,True,0,0.029304741231600134,0.05922558528651777,0.9999995234518001,1.0336176359260207e-12,-22.724124298198113,38.93854732741605,0.0,1.0,1.0,True,0.0,1.0,1.0,True,7.107211991157172
0,10,51,fixed continuous c,knee,True,3,0.029304741231600134,0.05922558528651777,0.24212572108447744,3.7414515929867775e-13,-30.287119357141385,31.37555226847278,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.30209073458121866
0,10,51,fixed continuous c,tail,True,5,0.029304741231600134,0.05922558528651777,2.0703531517668117e-05,1.1102230246251565e-13,-30.725836314531165,30.936835311083,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.10547879474440071
0,10,67,fixed continuous c,deep,False,,0.022244273439158524,0.03746199643508826,,,,,,,,,,,,,
0,10,67,fixed continuous c,edge,True,0,0.022244273439158524,0.03746199643508826,0.9999995234518001,1.0336176359260207e-12,-24.425021671403396,40.63946304405834,0.0,1.0,1.0,True,0.0,1.0,1.0,True,7.107221162875671
0,10,67,fixed continuous c,knee,True,3,0.022244273439158524,0.03746199643508826,0.24212572108447744,3.7414515929867775e-13,-31.987033212277666,33.077451503184065,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.3030834243687233
0,10,67,fixed continuous c,tail,True,5,0.022244273439158524,0.03746199643508826,2.0703531517668117e-05,1.1102230246251565e-13,-32.426413749997494,32.63807096546424,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.10580790420185256
0,10,99,fixed continuous c,deep,False,,0.0150177729642121,0.0150177729642121,,,,,,,,,,,,,
0,10,99,fixed continuous c,edge,True,0,0.0150177729642121,0.0150177729642121,0.9999995234518001,1.0336176359260207e-12,-26.859689121823706,43.07414948405703,0.0,1.0,1.0,True,0.0,1.0,1.0,True,7.107230657664861
0,10,99,fixed continuous c,knee,True,3,0.0150177729642121,0.0150177729642121,0.24212572108447744,3.7414515929867775e-13,-34.420677777788995,35.51316082809174,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.3041158040668926
0,10,99,fixed continuous c,tail,True,5,0.0150177729642121,0.0150177729642121,2.0703531517668117e-05,1.1102230246251565e-13,-34.86074901046038,35.073089595420356,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.10614958894846646
0,20,11,fixed continuous c,deep,True,0,0.41855624098484995,0.47461254192357055,1.0000000000000202,2.0827783941967937e-12,-13.115867089436426,29.349218774630653,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.116675842597092
