n,c,M_n_c,parameter_path,category,available,m,lambda_ref,u_ref,gap,knee_endpoint_absolute_value
0,10,3,fixed continuous c,deep,False,,,,,
0,10,3,fixed continuous c,edge,True,0,0.9999995234518001,1.0336176359260207e-12,0.0005216093325295379,
0,10,3,fixed continuous c,knee,True,3,0.24212572108447744,3.7414515929867775e-13,0.23758754310155936,2.9882531865477135
0,10,3,fixed continuous c,tail,True,5,2.0703531517668117e-05,1.1102230246251565e-13,2.066179828091238e-05,
0,20,6,fixed continuous c,deep,True,0,1.0000000000000202,2.0827783941967937e-12,1.1138090449946958e-11,
0,20,6,fixed continuous c,edge,True,2,0.9999999874847763,1.7830181775480014e-12,1.2504105861843584e-08,
0,20,6,fixed continuous c,knee,True,6,0.39506094010498877,8.820721930646869e-13,0.37515066038265726,3.4765240401731874
0,20,6,fixed continuous c,tail,True,8,0.0002714739515923361,1.1102230246251565e-13,0.00026953686629857803,
0,40,12,fixed continuous c,deep,True,0,1.0000000000000246,4.118927421359331e-13,2.6645352591003757e-15,
0,40,12,fixed continuous c,edge,True,8,0.9999999344152142,2.9165558856902862e-12,6.519849304886804e-08,
0,40,12,fixed continuous c,knee,True,12,0.657101627791495,1.5509815654013437e-12,0.32041612079915993,3.517378572083051
0,40,12,fixed continuous c,tail,True,15,6.336317442596817e-05,1.1102230246251565e-13,6.25539269442952e-05,
0,80,25,fixed continuous c,deep,True,0,1.000000000000024,6.59472476627343e-13,9.992007221626409e-15,
0,80,25,fixed continuous c,edge,True,20,0.9999999618456109,4.36206626375224e-12,3.763392897315754e-08,
0,80,25,fixed continuous c,knee,True,25,0.47706684115542153,8.748557434046234e-13,0.4188416122845727,5.831808111470331
0,80,25,fixed continuous c,tail,True,28,8.057958140599884e-05,1.1102230246251565e-13,7.872698363436457e-05,
1,10,2,fixed continuous c,deep,False,,,,,
1,10,2,fixed continuous c,edge,False,,,,,
1,10,2,fixed continuous c,knee,True,2,0.6636960386631646,2.6645352591003757e-13,0.3290961394790356,1.940594867270971
1,10,2,fixed continuous c,tail,True,4,0.0003675269889528861,1.1102230246251565e-13,0.0003664484746587373,
1,20,6,fixed continuous c,deep,True,0,0.9999999999998671,4.518607710224387e-13,3.8576708494275636e-10,
1,20,6,fixed continuous c,edge,True,2,0.9999997402388618,4.4853010194856324e-13,2.5937523817631813e-07,
1,20,6,fixed continuous c,knee,True,5,0.7637038251827604,5.095923683029469e-13,0.2289262247043714,2.2004645556353597
1,20,6,fixed continuous c,tail,True,8,2.531748038119955e-05,1.1102230246251565e-13,2.5177757126963995e-05,
1,40,12,fixed continuous c,deep,True,0,1.000000000000026,4.696243394164412e-13,3.552713678800501e-15,
1,40,12,fixed continuous c,edge,True,8,0.9999992848741911,4.5297099404706387e-13,7.099633512197556e-07,
1,40,12,fixed continuous c,knee,True,12,0.32138635596501286,1.588729148238599e-12,0.30107266895845647,4.967984069574932
1,40,12,fixed continuous c,tail,True,14,0.00049516633718097,1.1102230246251565e-13,0.00048757579738638356,
1,80,25,fixed continuous c,deep,True,0,1.0000000000000144,7.998046669399628e-12,4.440892098500626e-16,
1,80,25,fixed continuous c,edge,True,20,0.9999997028824833,5.728750807065808e-13,2.925785288487859e-07,
1,80,25,fixed continuous c,knee,True,24,0.7694001326391181,6.716849298982197e-13,0.21410348017665548,3.937882132896854
1,80,25,fixed continuous c,tail,True,27,0.0004854129321973901,1.1102230246251565e-13,0.00047273116034822694,
2,10,2,fixed continuous c,deep,False,,,,,
2,10,2,fixed continuous c,edge,False,,,,,
2,10,2,fixed continuous c,knee,True,2,0.284439555771541,3.9468428525424315e-13,0.2786330850506013,2.8677624579988428
2,10,2,fixed continuous c,tail,True,4,2.6496569762860486e-05,1.1102230246251565e-13,2.6443911779045386e-05,
2,20,5,fixed continuous c,deep,True,0,0.9999999999942921,4.5297099404706387e-13,8.604052692540165e-09,
2,20,5,fixed continuous c,edge,True,1,0.9999999913902394,4.563016631209393e-13,8.604052692540165e-09,
2,20,5,fixed continuous c,knee,True,5,0.4188199539650348,8.859579736508749e-13,0.3965622609245702,3.398048649959331
2,20,5,fixed continuous c,tail,True,7,0.0003073356775054457,1.1102230246251565e-13,0.00030513782942001534,
2,40,11,fixed continuous c,deep,True,0,1.0000000000000246,4.585221091701897e-13,2.886579864025407e-15,
2,40,11,fixed continuous c,edge,True,7,0.9999999405392644,4.629630012686903e-13,5.911649758605364e-08,
2,40,11,fixed continuous c,knee,True,11,0.6673041582881978,1.5154544286133387e-12,0.31144955880851943,3.4661517560239394
2,40,11,fixed continuous c,tail,True,14,6.72597329939677e-05,1.1102230246251565e-13,6.639893276493431e-05,
2,80,24,fixed continuous c,deep,True,0,1.000000000000014,5.728750807065808e-13,0.0,
2,80,24,fixed continuous c,edge,True,19,0.9999999632343759,1.1102230246251565e-13,3.626568356729365e-08,
2,80,24,fixed continuous c,knee,True,24,0.4821353834639478,8.198997036856781e-13,0.42264947865239366,5.802563286084113
2,80,24,fixed continuous c,tail,True,27,8.282452064142e-05,1.1102230246251565e-13,8.091798963976575e-05,
4,10,1,fixed continuous c,deep,False,,,,,
4,10,1,fixed continuous c,edge,False,,,,,
