method,n,c,parameter_path,dimension_old,dimension_new,block_defect_norm_2,relative_block_defect,raw_negative_increment_count,significant_negative_increment_count,minimum_increment
project,0,10,fixed continuous c,8,11,0.0,0.0,0,0,6.523494511562023e-12
project,0,10,fixed continuous c,11,15,0.0,0.0,1,0,-1.5862089010981467e-18
project,0,10,fixed continuous c,15,23,0.0,0.0,0,0,8.051169926547141e-19
project,0,10,fixed continuous c,23,35,0.0,0.0,0,0,9.442563764221681e-18
project,0,10,fixed continuous c,35,51,0.0,0.0,4,0,-3.173111542792549e-18
project,0,10,fixed continuous c,51,67,0.0,0.0,2,0,-1.0970276444363958e-17
project,0,10,fixed continuous c,67,99,0.0,0.0,7,0,-8.09989146703005e-18
project,0,20,fixed continuous c,11,14,0.0,0.0,0,0,1.1102230246251565e-16
project,0,20,fixed continuous c,14,18,0.0,0.0,1,0,-1.1102230246251565e-16
project,0,20,fixed continuous c,18,26,0.0,0.0,0,0,1.9467305397808395e-17
project,0,20,fixed continuous c,26,38,0.0,0.0,2,0,-1.1102230246251565e-16
project,0,20,fixed continuous c,38,54,0.0,0.0,0,0,1.129445762266107e-17
project,0,20,fixed continuous c,54,70,0.0,0.0,0,0,0.0
project,0,20,fixed continuous c,70,102,0.0,0.0,7,0,-5.551115123125783e-16
project,0,40,fixed continuous c,17,20,0.0,0.0,3,0,-5.551115123125783e-16
project,0,40,fixed continuous c,20,24,0.0,0.0,5,0,-8.881784197001252e-16
project,0,40,fixed continuous c,24,32,0.0,0.0,4,0,-7.771561172376096e-16
project,0,40,fixed continuous c,32,44,0.0,0.0,0,0,1.2596903650737596e-18
project,0,40,fixed continuous c,44,60,0.0,0.0,10,0,-1.5543122344752192e-15
project,0,40,fixed continuous c,60,76,0.0,0.0,1,0,-6.105447659262976e-18
project,0,40,fixed continuous c,76,108,0.0,0.0,9,0,-6.661338147750939e-16
project,0,80,fixed continuous c,30,33,0.0,0.0,0,0,0.0
project,0,80,fixed continuous c,33,37,0.0,0.0,9,0,-4.440892098500626e-16
project,0,80,fixed continuous c,37,45,0.0,0.0,8,0,-6.661338147750939e-16
project,0,80,fixed continuous c,45,57,0.0,0.0,10,0,-7.771561172376096e-16
project,0,80,fixed continuous c,57,73,0.0,0.0,6,0,-3.3306690738754696e-16
project,0,80,fixed continuous c,73,89,0.0,0.0,15,0,-3.3306690738754696e-16
project,0,80,fixed continuous c,89,121,0.0,0.0,10,0,-3.3306690738754696e-16
project,1,10,fixed continuous c,7,10,0.0,0.0,0,0,2.736072661581401e-10
project,1,10,fixed continuous c,10,14,0.0,0.0,0,0,4.396268236160621e-17
project,1,10,fixed continuous c,14,22,0.0,0.0,1,0,-5.028478750713292e-18
project,1,10,fixed continuous c,22,34,0.0,0.0,0,0,3.871512720992974e-18
project,1,10,fixed continuous c,34,50,0.0,0.0,0,0,2.1002822104310506e-18
project,1,10,fixed continuous c,50,66,0.0,0.0,1,0,-1.8675858695828757e-19
project,1,10,fixed continuous c,66,98,0.0,0.0,6,0,-5.845973771473722e-17
project,1,20,fixed continuous c,11,14,0.0,0.0,0,0,2.220446049250313e-15
project,1,20,fixed continuous c,14,18,0.0,0.0,0,0,5.784221207805191e-17
