n,c,parameter_path,P,Boulsane_N,method,wall_median_seconds,wall_Q1_seconds,wall_Q3_seconds,wall_IQR_seconds,CPU_median_seconds,reused_entry_count,matrix_storage_bytes,offset_path
0,10,fixed continuous c,35,36,project_full_rebuild,0.0016572000022279099,0.0016463499960082117,0.0016709999981685542,2.465000216034241e-05,0.0,0,9800,
0,10,fixed continuous c,35,36,project_block_extension,0.00016650000179652125,0.00016575000336160883,0.00016799999866634607,2.24999530473724e-06,0.0,529,9800,
0,10,fixed continuous c,35,36,project_eigensolve,2.830000448739156e-05,2.779999704216607e-05,2.890000178012997e-05,1.1000047379639e-06,0.0,,,
0,10,fixed continuous c,35,36,Boulsane_large_N_assembly,0.005069600003480446,0.005003800000849878,0.005087850000563776,8.40499997138977e-05,0.0,0,10368,large_N
0,10,fixed continuous c,35,36,Boulsane_large_N_eigensolve,3.270000161137432e-05,3.199999991920777e-05,3.400000059627928e-05,2.0000006770715117e-06,0.0,,,large_N
0,10,fixed continuous c,35,36,Boulsane_half_mesh_assembly,0.004841900001338217,0.004820649999601301,0.0049758499990275595,0.00015519999942625873,0.0,0,10368,half_mesh
0,10,fixed continuous c,35,36,Boulsane_half_mesh_eigensolve,2.890000178012997e-05,2.8750000637955964e-05,3.0399998649954796e-05,1.6499980119988322e-06,0.0,,,half_mesh
0,10,fixed continuous c,35,36,Boulsane_next_zero_assembly,0.004796399996848777,0.004795049997483147,0.0048226000035356265,2.7550006052479148e-05,0.0,0,10368,next_zero
0,10,fixed continuous c,35,36,Boulsane_next_zero_eigensolve,2.9999995604157448e-05,2.9150000045774505e-05,3.0750001315027475e-05,1.6000012692529708e-06,0.0,,,next_zero
0,10,fixed continuous c,35,36,Boulsane_left_control_assembly,0.0048136000041267835,0.004804500000318512,0.00482929999998305,2.479999966453761e-05,0.0,0,10368,left_control
0,10,fixed continuous c,35,36,Boulsane_left_control_eigensolve,3.0800001695752144e-05,2.9650000215042382e-05,3.215000106138177e-05,2.5000008463393897e-06,0.0,,,left_control
0,10,fixed continuous c,35,36,Boulsane_right_control_assembly,0.004806299999472685,0.004799399997864384,0.00488000000041211,8.060000254772604e-05,0.0,0,10368,right_control
0,10,fixed continuous c,35,36,Boulsane_right_control_eigensolve,2.9199996788520366e-05,2.7800000680144876e-05,3.090000245720148e-05,3.1000017770566046e-06,0.0,,,right_control
0,10,fixed continuous c,51,52,project_full_rebuild,0.0024041000069701113,0.002397349995590048,0.002410300003248267,1.2950007658218965e-05,0.0,0,20808,
0,10,fixed continuous c,51,52,project_block_extension,0.00030649999825982377,0.00030500000138999894,0.00030980000155977905,4.800000169780105e-06,0.0,1225,20808,
0,10,fixed continuous c,51,52,project_eigensolve,4.630000330507755e-05,4.5549997594207525e-05,4.914999954053201e-05,3.6000019463244826e-06,0.0,,,
0,10,fixed continuous c,51,52,Boulsane_large_N_assembly,0.010405599998193793,0.010387849997641752,0.010413899999548448,2.6050001906696707e-05,0.015625,0,21632,large_N
0,10,fixed continuous c,51,52,Boulsane_large_N_eigensolve,4.999999509891495e-05,4.935000470140949e-05,5.360000068321824e-05,4.249995981808752e-06,0.0,,,large_N
0,10,fixed continuous c,51,52,Boulsane_half_mesh_assembly,0.010412299998279195,0.010393349999503698,0.010443499999382766,5.0149999879067764e-05,0.015625,0,21632,half_mesh
0,10,fixed continuous c,51,52,Boulsane_half_mesh_eigensolve,5.149999924469739e-05,5.059999966761097e-05,5.8450001233723015e-05,7.850001566112041e-06,0.0,,,half_mesh
0,10,fixed continuous c,51,52,Boulsane_next_zero_assembly,0.010418499994557351,0.010415550001198426,0.010431800001242664,1.6250000044237822e-05,0.015625,0,21632,next_zero
0,10,fixed continuous c,51,52,Boulsane_next_zero_eigensolve,4.990000161342323e-05,4.959999932907522e-05,5.3050000133225694e-05,3.450000804150477e-06,0.0,,,next_zero
0,10,fixed continuous c,51,52,Boulsane_left_control_assembly,0.010489599997526966,0.010382599997683428,0.010539850001805462,0.00015725000412203372,0.015625,0,21632,left_control
0,10,fixed continuous c,51,52,Boulsane_left_control_eigensolve,4.919999628327787e-05,4.669999907491729e-05,5.160000000614673e-05,4.900000931229442e-06,0.0,,,left_control
0,10,fixed continuous c,51,52,Boulsane_right_control_assembly,0.010383400003775023,0.01031420000072103,0.010396950001450023,8.275000072899275e-05,0.0,0,21632,right_control
0,10,fixed continuous c,51,52,Boulsane_right_control_eigensolve,4.959999932907522e-05,4.9299997044727206e-05,5.18000015290454e-05,2.5000044843181968e-06,0.0,,,right_control
